bene_id,BENE_MBI_ID,BENE_LAST_NAME,BENE_1ST_NAME,BENE_MIDL_NAME,BENE_BRTH_DT,BENE_DEATH_DT,BENE_SEX_CD,BENE_RACE_CD,BENE_SK,BENE_XREF_SK,BENE_XREF_EFCTV_SK
-10000010288010,1S00EU8FA10,Posada6,Vicente970,J,1961-04-30,,1,5,-458895297,-458895297,-458895297
-10000010288009,1S00EU8FA09,Purdy2,Giuseppe872,M,1957-09-24,,1,1,-534299886,-534299886,-534299886
-10000010288006,1S00EU8FA06,Turcotte120,Alva958,N,1942-09-14,,1,1,-603918930,-603918930,-603918930
-10000010288005,1S00EU8FA05,Cremin516,Alena861,J,1983-12-21,,2,1,-826004616,-826004616,-826004616
-10000010288002,1S00EU8FA02,Crona259,Hettie215,F,1953-05-27,,2,1,-948191094,-948191094,-948191094
-10000010288000,1S00EU8FA00,O'Conner199,Yan646,S,1986-11-22,,2,4,-42224667,-42224667,-42224667
-10000010287997,1S00EU8EY97,Roybal79,Benjamín452,,1948-04-18,,1,5,-657388415,-657388415,-657388415
-10000010287995,1S00EU8EY95,Venegas795,Claudio955,C,1977-01-27,,1,5,-842963000,-842963000,-842963000
-10000010287992,1S00EU8EY92,Lakin515,Adalberto916,L,1939-09-26,,1,1,-972640865,-972640865,-972640865
-10000010287991,1S00EU8EY91,Bednar518,Tennille443,M,1985-01-18,,2,5,-59431060,-59431060,-59431060
-10000010287983,1S00EU8EY83,Turcotte120,Sammie902,E,1971-03-23,,1,1,-8887648,-8887648,-8887648
-10000010287978,1S00EU8EY78,Baca589,Teodoro374,S,1953-06-08,,1,5,-820535566,-820535566,-820535566
-10000010287975,1S00EU8EY75,Berge125,Beatrice15,A,1962-06-20,,2,6,-865200809,-865200809,-865200809
-10000010287974,1S00EU8EY74,Alcaraz418,Esteban536,Ó,1960-02-03,,1,5,-291314505,-291314505,-291314505
-10000010287972,1S00EU8EY72,Pulido715,Gilberto712,J,2011-12-19,,1,5,-406328640,-406328640,-406328640
