PRVDR_SK,PRVDR_HSTRY_EFCTV_DT,PRVDR_HSTRY_OBSLT_DT,PRVDR_1ST_NAME,PRVDR_MDL_NAME,PRVDR_LAST_NAME,PRVDR_NAME,PRVDR_LGL_NAME,PRVDR_NPI_NUM,PRVDR_EMPLR_ID_NUM,PRVDR_OSCAR_NUM,PRVDR_TXNMY_CMPST_CD,PRVDR_TYPE_CD
6766173307,2025-11-12,9999-12-31,Indiana,Victor,Garcia,,,6766173307,2634267182,938044,208VP0000X,N2
1548226988,2025-11-12,9999-12-31,Wednesday,Wednesday,Addams,BITE AID PHARMACY,CBS Health Corporation,1548226988,5432109817,722931,,BG
1952378861,2025-11-14,9999-12-31,Gromit,,Rogers,,,1952378861,3897699018,044510,2081P0301X,A
1942945159,2025-11-14,9999-12-31,Tony,,Stark,,,1942945159,3335819827,815770,207RC0000X207NS0135X,D
1504994678,2026-06-10,9999-12-31,Colin,Jack,Stark,BITE AID PHARMACY,,1504994678,-711678406,-317650,207VX0201X,N2
1118124233,2026-06-10,9999-12-31,Jack,Gromit,Addams,CBS PHARMACY,CBS Health Corporation,1118124233,-532104599,-353947,208VP0000X,A
1879134223,2026-06-10,9999-12-31,Chip,Nadia,Addams,BITE AID PHARMACY,WALPART INC,1879134223,-104977991,-762891,207VX0201X,BP
1065725636,2026-06-10,9999-12-31,Indiana,Indiana,,HEALTHCARE CENTER,,1065725636,-993635254,-054653,207QB0505X,BG
1270120342,2026-06-10,9999-12-31,Victor,Tiana,Jones,WAL-PART PHARMACY,,1270120342,-769715659,-144673,207RC0000X,D
1248968152,2026-06-10,9999-12-31,Tiana,Sally,,HEALTHCARE CENTER,,1248968152,-002842576,-415015,207RC0000X,UI
2601139399,2026-06-10,9999-12-31,Gromit,Tony,Jones,,,2601139399,-500515477,-146921,207RC0000X,D
2933916696,2026-06-10,9999-12-31,Indiana,Wallace,Frankenstein,CBS PHARMACY,,2933916696,-798502174,-026454,207XX0004X,D
