BENE_ID,BENE_MBI_ID,BENE_LAST_NAME,BENE_1ST_NAME,BENE_MIDL_NAME,BENE_BRTH_DT,BENE_SEX_CD,BENE_RACE_CD,BENE_SK,BENE_XREF_SK,BENE_XREF_EFCTV_SK,IDR_TRANS_EFCTV_TS,IDR_INSRT_TS,IDR_UPDT_TS,IDR_TRANS_OBSLT_TS,CNTCT_LANG_CD,IDR_LTST_TRANS_FLG,BENE_LINE_1_ADR,BENE_LINE_2_ADR,BENE_LINE_3_ADR,BENE_LINE_4_ADR,BENE_LINE_5_ADR,BENE_LINE_6_ADR,GEO_ZIP_PLC_NAME,GEO_ZIP5_CD,GEO_USPS_STATE_CD,BENE_DEATH_DT,BENE_VRFY_DEATH_DAY_SW,BENE_SSN_NUM
-10000010288010,1S00EU8FA10,Posada6,Vicente970,J,1961-04-30,1,5,-458895297,-458895297,-458895297,2024-06-11 13:51:03.694838,2024-07-22 02:16:59.018408,2024-09-07 02:17:19.900608,9999-12-31T00:00:00.000000,SPA,Y,1970 S University Blvd,,,,,,Mobile,36609,AL,,,979936889
-10000010288009,1S00EU8FA09,Purdy2,Giuseppe872,M,1957-09-24,1,1,-534299886,-534299886,-534299886,2023-07-05 09:37:25.546644,2023-12-09 09:26:35.563458,2024-04-27 13:13:38.097363,9999-12-31T00:00:00.000000,SPA,Y,777 Brockton Avenue,,,,,,Abington,02351,MA,,,933361764
-10000010288008,1S00EU8FA08,Nevárez403,Víctor493,M,1945-12-26,1,5,-33986217,-33986217,-33986217,2022-10-16 03:57:24.387577,2025-09-06 01:57:17.646744,2025-10-09 14:17:58.533935,9999-12-31T00:00:00.000000,SPA,Y,14152 ND-27,,,,,,Lisbon,58054,ND,2022-11-04,N,973274848
-10000010288007,1S00EU8FA07,Kertzmann286,Jesenia223,J,1962-09-11,2,1,-125646820,-125646820,-125646820,2019-09-29 04:35:37.163759,2022-07-14 03:13:17.088132,2023-11-22 19:30:12.028270,9999-12-31T00:00:00.000000,~,Y,14152 ND-27,,,,,,Lisbon,58054,ND,2020-12-11,Y,941455911
-10000010288006,1S00EU8FA06,Turcotte120,Alva958,N,1942-09-14,1,1,-603918930,-603918930,-603918930,2019-06-08 00:37:48.685285,2019-07-28 17:54:17.285310,2021-08-11 21:15:26.375967,9999-12-31T00:00:00.000000,ENG,Y,2904 61st,,,,,,Galveston,77551,TX,2020-07-15,Y,915854914
-10000010288005,5BN8UQ0UH66,Cremin516,Alena861,J,1983-12-21,2,1,-826004616,-826004616,-826004616,2019-09-07 08:14:25.627363,2020-07-20 02:04:09.246156,2025-09-14 01:42:18.694365,2022-04-03T00:00:00.000000,~,N,2904 61st,,,,,,Galveston,77551,TX,2025-06-21,Y,908172461
-10000010288005,1S00EU8FA05,Cremin516,Alena861,J,1983-12-21,2,1,-826004616,-826004616,-826004616,2021-09-14 14:20:28.921832,2023-08-23 17:08:27.761249,2024-12-06 01:25:24.495411,9999-12-31T00:00:00.000000,~,Y,2904 61st,,,,,,Galveston,77551,TX,2025-06-21,Y,967711601
-10000010288002,1S00EU8FA02,Crona259,Hettie215,F,1953-05-27,2,1,-948191094,-948191094,-948191094,2023-01-27 01:25:36.421398,2024-12-11 11:57:24.365088,2026-01-25 09:10:32.062726,9999-12-31T00:00:00.000000,~,Y,14152 ND-27,,,,,,Lisbon,58054,ND,,,960812911
-10000010288000,1S00EU8FA00,O'Conner199,Yan646,S,1986-11-22,2,4,-42224667,-42224667,-42224667,2018-05-14 20:13:54.803428,2024-01-19 10:11:30.419388,2024-07-30 01:01:54.367460,9999-12-31T00:00:00.000000,~,Y,1970 S University Blvd,,,,,,Mobile,36609,AL,,,957072061
-10000010287997,1S00EU8EY97,Roybal79,Benjamín452,,1948-04-18,1,5,-657388415,-657388415,-657388415,2018-04-16 22:59:24.590661,2022-02-04 18:15:12.755776,2026-01-11 14:45:39.387901,9999-12-31T00:00:00.000000,~,Y,14152 ND-27,,,,,,Lisbon,58054,ND,,,964026589
-10000010287996,1S00EU8EY96,Rivas297,Patricia625,A,1967-09-17,2,5,-355196311,-355196311,-355196311,2019-08-21 22:00:27.640340,2023-09-17 07:56:17.539895,2024-05-11 17:49:47.098627,9999-12-31T00:00:00.000000,~,Y,14152 ND-27,,,,,,Lisbon,58054,ND,,,974838964
-10000010287995,9IK2W82EM02,Venegas795,Claudio955,C,1977-01-27,1,5,-842963000,-842963000,-842963000,2022-11-14 16:48:40.204415,2022-12-13 07:09:08.381596,2024-10-30 02:32:55.201195,2019-09-25T00:00:00.000000,SPA,N,3728 Broadway,Avenue J,,,,,Galveston,77550,TX,,,971745059
