PRVDR_SK,PRVDR_HSTRY_EFCTV_DT,PRVDR_HSTRY_OBSLT_DT,PRVDR_1ST_NAME,PRVDR_MDL_NAME,PRVDR_LAST_NAME,PRVDR_NAME,PRVDR_LGL_NAME,PRVDR_NPI_NUM,PRVDR_EMPLR_ID_NUM,PRVDR_OSCAR_NUM,PRVDR_TXNMY_CMPST_CD,PRVDR_TYPE_CD,META_SK,META_LST_UPDT_SK
8790215084,2026-01-13,9999-12-31,Tiana,Chip,Addams,HEALTHCARE CENTER,Bite Aid Corporation,8790215084,9926619191,489841,208VP0000X,BP,1170613543,0
8421506856,2026-01-13,9999-12-31,Chip,Jack,Stark,CBS PHARMACY,Bite Aid Corporation,8421506856,6854550631,728550,207RC0000X,~,501,1150122261
8619377593,2026-01-13,9999-12-31,Gromit,Tiana,Jones,WAL-PART PHARMACY,Bite Aid Corporation,8619377593,5536501965,895911,207VX0201X,D,1190331026,1190331026
9321061681,2026-01-13,9999-12-31,Wallace,Wednesday,Madrigal,BITE AID PHARMACY,,9321061681,8497861012,040539,2081P0301X,~,1210506723,0
1559031855,2026-01-13,9999-12-31,Indiana,Tiana,Jones,CBS PHARMACY,HEALTHCARE SERVICES LLC,1559031855,9972340878,234022,208VP0000X,UI,1150726857,1150726857
3258570265,2026-01-13,9999-12-31,Nadia,Jack,Garcia,WAL-PART PHARMACY,WALPART INC,3258570265,0608365738,692570,208VP0000X,~,1130817992,1130817992
6943634323,2026-01-13,9999-12-31,Jack,Indiana,Frankenstein,,WALPART INC,6943634323,8684044446,142586,208VP0000X,~,1240212617,0
5075718258,2026-01-13,9999-12-31,Victor,Coraline,Madrigal,CBS PHARMACY,CBS Health Corporation,5075718258,8719167706,878733,207XX0004X,~,1161025970,0
0763073383,2026-01-13,9999-12-31,Tony,Chip,Garcia,,CBS Health Corporation,0763073383,9449622550,090998,2081P0301X,A,1130715929,1130715929
4928668782,2026-01-13,9999-12-31,Colin,Nadia,Jones,BITE AID PHARMACY,HEALTHCARE SERVICES LLC,4928668782,3667167469,282255,207RC0000X,A,1150217343,0
7694933877,2026-01-13,9999-12-31,Sally,Gromit,Frankenstein,CBS PHARMACY,CBS Health Corporation,7694933877,4950387094,367519,2081P0301X,~,1221024077,1221024077
5932738823,2026-01-13,9999-12-31,,Chip,Garcia,CBS PHARMACY,WALPART INC,5932738823,3618254100,640646,207VX0201X,N2,1130604931,0
2668807761,2026-01-13,9999-12-31,Coraline,Wednesday,,HEALTHCARE CENTER,WALPART INC,2668807761,0472870450,652716,2081P0301X,BP,1160721134,0
2401884087,2026-01-13,9999-12-31,Wednesday,Jack,Rogers,WAL-PART PHARMACY,WALPART INC,2401884087,2357481169,591248,207RC0000X,A,1120220941,1160527841
